datetime,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation,surface_pressure,cloud_cover,wind_speed_10m,wind_direction_10m,city,hour,day,month,year
2026-04-10 00:00:00,4.3,66,1.8,0.0,945.3,0,0.8,153,Decan,0,10,4,2026
2026-04-10 01:00:00,3.6,69,1.2,0.0,945.5,0,0.4,270,Decan,1,10,4,2026
2026-04-10 02:00:00,1.6,73,-1.2,0.0,945.2,0,2.0,260,Decan,2,10,4,2026
2026-04-10 03:00:00,1.2,68,-1.7,0.0,945.2,0,1.3,270,Decan,3,10,4,2026
2026-04-10 04:00:00,0.9,64,-2.1,0.0,945.0,0,1.5,277,Decan,4,10,4,2026
2026-04-10 05:00:00,0.8,57,-2.6,0.0,944.9,0,2.8,281,Decan,5,10,4,2026
2026-04-10 06:00:00,0.3,54,-3.3,0.0,944.9,0,3.9,283,Decan,6,10,4,2026
2026-04-10 07:00:00,1.0,55,-2.7,0.0,945.3,0,4.8,283,Decan,7,10,4,2026
2026-04-10 08:00:00,4.1,57,1.1,0.0,946.6,0,2.1,285,Decan,8,10,4,2026
2026-04-10 09:00:00,6.5,41,3.2,0.0,946.8,39,3.0,115,Decan,9,10,4,2026
2026-04-10 10:00:00,8.1,45,5.0,0.0,946.9,85,5.0,116,Decan,10,10,4,2026
2026-04-10 11:00:00,9.5,47,7.0,0.0,946.9,97,6.9,110,Decan,11,10,4,2026
2026-04-10 12:00:00,10.3,46,7.7,0.0,946.5,20,8.7,112,Decan,12,10,4,2026
2026-04-10 13:00:00,11.8,41,10.3,0.0,946.0,30,8.5,107,Decan,13,10,4,2026
2026-04-10 14:00:00,12.4,40,10.6,0.0,945.3,13,9.0,110,Decan,14,10,4,2026
2026-04-10 15:00:00,13.1,39,10.9,0.0,944.9,62,8.2,113,Decan,15,10,4,2026
2026-04-10 16:00:00,12.8,39,9.6,0.0,944.5,66,7.7,126,Decan,16,10,4,2026
2026-04-10 17:00:00,12.5,38,8.9,0.0,944.6,99,8.6,123,Decan,17,10,4,2026
2026-04-10 18:00:00,11.1,42,8.0,0.0,944.8,100,5.0,103,Decan,18,10,4,2026
2026-04-10 19:00:00,9.7,54,7.3,0.0,944.5,100,2.2,346,Decan,19,10,4,2026
2026-04-10 20:00:00,9.4,61,7.4,0.0,944.6,100,1.5,330,Decan,20,10,4,2026
2026-04-10 21:00:00,9.0,62,7.2,0.0,945.3,100,0.4,117,Decan,21,10,4,2026
2026-04-10 22:00:00,8.7,61,6.6,0.0,945.5,100,1.7,18,Decan,22,10,4,2026
2026-04-10 23:00:00,8.2,62,6.0,0.0,945.4,100,2.4,13,Decan,23,10,4,2026
2026-04-11 00:00:00,7.6,63,5.3,0.0,946.0,100,2.5,21,Decan,0,11,4,2026
2026-04-11 01:00:00,7.3,66,5.0,0.4,946.6,100,2.6,65,Decan,1,11,4,2026
2026-04-11 02:00:00,6.8,81,5.1,0.1,946.3,100,1.3,106,Decan,2,11,4,2026
2026-04-11 03:00:00,6.5,90,4.9,0.0,945.9,100,2.1,31,Decan,3,11,4,2026
2026-04-11 04:00:00,6.5,94,5.1,0.1,946.0,100,2.5,45,Decan,4,11,4,2026
2026-04-11 05:00:00,6.5,98,5.5,0.1,946.0,100,0.9,90,Decan,5,11,4,2026
2026-04-11 06:00:00,6.4,97,5.3,0.1,945.8,100,0.4,90,Decan,6,11,4,2026
2026-04-11 07:00:00,6.5,98,5.4,0.1,946.3,100,1.2,39,Decan,7,11,4,2026
2026-04-11 08:00:00,6.7,96,5.6,0.2,946.7,100,0.8,117,Decan,8,11,4,2026
2026-04-11 09:00:00,7.8,93,6.6,0.2,947.2,100,3.1,114,Decan,9,11,4,2026
2026-04-11 10:00:00,9.3,89,8.1,0.1,947.2,100,3.7,113,Decan,10,11,4,2026
2026-04-11 11:00:00,11.4,72,9.9,0.2,946.8,100,6.4,115,Decan,11,11,4,2026
2026-04-11 12:00:00,12.2,67,10.7,0.2,946.7,98,8.1,121,Decan,12,11,4,2026
2026-04-11 13:00:00,13.2,62,12.2,0.3,946.4,98,7.9,106,Decan,13,11,4,2026
2026-04-11 14:00:00,12.7,63,11.3,0.7,946.2,52,9.5,122,Decan,14,11,4,2026
2026-04-11 15:00:00,13.5,59,11.6,0.2,945.8,43,6.3,114,Decan,15,11,4,2026
2026-04-11 16:00:00,13.6,57,11.5,0.1,945.2,54,6.4,117,Decan,16,11,4,2026
2026-04-11 17:00:00,13.3,57,11.4,0.0,944.9,38,4.8,124,Decan,17,11,4,2026
2026-04-11 18:00:00,12.7,58,11.0,0.0,944.5,38,2.8,145,Decan,18,11,4,2026
2026-04-11 19:00:00,10.6,70,9.4,0.0,944.2,6,0.3,315,Decan,19,11,4,2026
2026-04-11 20:00:00,10.3,72,9.0,0.0,944.5,74,1.4,310,Decan,20,11,4,2026
2026-04-11 21:00:00,9.2,73,7.6,0.0,945.2,47,2.1,308,Decan,21,11,4,2026
2026-04-11 22:00:00,9.2,71,7.7,0.0,945.8,48,1.3,326,Decan,22,11,4,2026
2026-04-11 23:00:00,8.0,80,6.4,0.0,946.2,30,2.7,356,Decan,23,11,4,2026
2026-04-12 00:00:00,7.0,83,5.2,0.0,946.2,28,3.1,339,Decan,0,12,4,2026
2026-04-12 01:00:00,6.5,81,4.6,0.0,946.2,10,2.4,318,Decan,1,12,4,2026
2026-04-12 02:00:00,6.5,73,4.6,0.0,945.8,1,0.8,297,Decan,2,12,4,2026
2026-04-12 03:00:00,6.2,72,4.1,0.0,945.5,1,1.1,288,Decan,3,12,4,2026
2026-04-12 04:00:00,6.0,70,3.9,0.0,945.6,1,0.6,304,Decan,4,12,4,2026
2026-04-12 05:00:00,5.7,68,3.5,0.0,945.7,1,0.7,284,Decan,5,12,4,2026
2026-04-12 06:00:00,5.7,67,3.4,0.0,945.5,1,0.9,270,Decan,6,12,4,2026
2026-04-12 07:00:00,6.9,70,5.0,0.0,946.2,1,0.9,307,Decan,7,12,4,2026
2026-04-12 08:00:00,8.8,62,6.7,0.0,946.9,60,2.2,48,Decan,8,12,4,2026
2026-04-12 09:00:00,11.1,58,9.0,0.0,947.4,19,3.5,105,Decan,9,12,4,2026
2026-04-12 10:00:00,12.8,58,10.8,0.0,947.6,35,6.0,107,Decan,10,12,4,2026
2026-04-12 11:00:00,14.2,57,13.2,0.0,947.6,57,6.5,98,Decan,11,12,4,2026
2026-04-12 12:00:00,15.1,57,14.2,0.0,947.2,72,6.7,96,Decan,12,12,4,2026
