city,mean,median,count
Podujeva,5.592,5.602,154
Lipjan,5.83,5.602,154
Istog,5.845,6.127,154
Skenderaj,5.917,6.14,154
Decan,5.989,5.85,154
Ferizaj,6.024,5.68,154
Malisheva,6.033,6.288,154
Obiliq,6.062,5.916,154
Zvecan,6.068,6.152,154
Mitrovica,6.074,6.151,154
Fushe Kosova,6.08,5.914,154
Pristina,6.235,6.136,154
Zubin Potok,6.24,6.065,154
Kamenica,6.325,6.461,154
Shtime,6.338,6.263,154
Rahovec,6.354,6.237,154
Gjilan,6.423,6.334,154
Vushtrri,6.47,6.458,154
Prizren,6.491,6.783,154
Peja,6.527,6.337,154
Dragash,6.657,6.685,154
Drenas,6.658,6.701,154
Kline,6.809,6.942,154
Novoberde,6.864,6.804,154
Suhareka,6.877,6.903,154
Gjakova,7.044,7.138,154
Hani i Elezit,7.209,6.989,154
