city,mean,median,count
Podujeva,5.662,5.717,154
Lipjan,5.749,5.656,154
Decan,5.931,5.694,154
Zvecan,5.969,6.206,154
Mitrovica,5.97,6.251,154
Rahovec,5.985,5.556,154
Ferizaj,6.0,5.921,154
Istog,6.025,6.022,154
Fushe Kosova,6.031,5.928,154
Obiliq,6.053,5.939,154
Skenderaj,6.171,6.545,154
Pristina,6.177,6.152,154
Malisheva,6.205,6.128,154
Shtime,6.22,6.139,154
Zubin Potok,6.256,5.849,154
Dragash,6.351,6.475,154
Prizren,6.406,6.258,154
Vushtrri,6.411,6.498,154
Gjakova,6.425,6.274,154
Kamenica,6.477,6.542,154
Peja,6.501,6.128,154
Gjilan,6.532,6.494,154
Kline,6.624,6.71,154
Novoberde,6.634,6.966,154
Drenas,6.635,6.625,154
Suhareka,6.814,6.658,154
Hani i Elezit,7.147,6.983,154
