city,mean,median,count
Istog,6.185,6.199,154
Decan,6.559,6.825,154
Prizren,6.598,6.71,154
Podujeva,6.674,6.769,154
Malisheva,6.837,7.162,154
Rahovec,6.94,7.122,154
Dragash,6.95,6.874,154
Lipjan,6.956,7.27,154
Skenderaj,6.983,7.121,154
Peja,7.062,7.077,154
Mitrovica,7.13,7.272,154
Zvecan,7.132,7.291,154
Obiliq,7.136,7.333,154
Fushe Kosova,7.17,7.367,154
Zubin Potok,7.186,7.263,154
Kamenica,7.225,7.315,154
Ferizaj,7.227,7.416,154
Kline,7.25,7.097,154
Pristina,7.255,7.369,154
Vushtrri,7.291,7.446,154
Novoberde,7.308,7.414,154
Shtime,7.43,7.708,154
Suhareka,7.432,7.667,154
Gjilan,7.459,7.644,154
Gjakova,7.476,7.593,154
Drenas,7.699,7.702,154
Hani i Elezit,7.801,7.753,154
