feature,importance_mean,importance_std
relative_humidity_2m,0.06546890523076403,0.00573733009786685
hour_sin,0.016292780257591667,0.002048729013690606
hour_cos,0.0033936586181671836,0.0007249067922588874
surface_pressure,0.00024358169938478724,0.0001766703420423512
cloud_cover,0.0,0.0
wind_speed_10m,-8.881784197001253e-17,4.782987168225454e-16
wind_direction_10m,-8.881784197001253e-17,2.664535259100376e-16
precipitation,-1.7763568394002506e-16,5.329070518200752e-16
month_sin,-8.881784197001252e-16,0.0
month_cos,-8.881784197001252e-16,0.0
