city,mean,median,count
Podujeva,5.841,6.041,154
Skenderaj,5.902,6.268,154
Zvecan,5.967,6.214,154
Mitrovica,5.98,6.262,154
Lipjan,6.055,6.19,154
Istog,6.068,6.228,154
Zubin Potok,6.118,5.786,154
Decan,6.124,5.964,154
Ferizaj,6.173,5.767,154
Obiliq,6.187,6.374,154
Fushe Kosova,6.196,6.377,154
Malisheva,6.2,6.446,154
Pristina,6.294,6.568,154
Vushtrri,6.567,6.937,154
Shtime,6.579,6.647,154
Rahovec,6.593,6.373,154
Kamenica,6.646,6.836,154
Gjilan,6.7,6.626,154
Prizren,6.753,6.812,154
Peja,6.887,6.369,154
Drenas,6.923,7.219,154
Novoberde,7.078,7.559,154
Dragash,7.099,6.966,154
Suhareka,7.106,7.354,154
Kline,7.206,7.211,154
Gjakova,7.551,7.426,154
Hani i Elezit,7.783,7.947,154
