feature,importance_mean,importance_std
relative_humidity_2m,0.7751189273689266,0.02313870859230929
hour_sin,0.4103386724386725,0.01629762363455037
hour_cos,0.3455228234728224,0.014536601548398751
wind_direction_10m,0.12706589706589674,0.009085257981924125
precipitation,0.027450553150552358,0.00430292716869951
surface_pressure,0.005305675805675492,0.005146652249866371
month_sin,-4.440892098500626e-16,4.440892098500626e-16
month_cos,-4.440892098500626e-16,4.440892098500626e-16
cloud_cover,-0.10673508898508936,0.009711430581057306
wind_speed_10m,-0.2946073352573359,0.01734608125125136
